$p$,$r$,$N$,data,error
0.0,0.33,84,27.99993078339355,0.00015228573391125783
0.0,0.33,108,35.99996033949393,3.9660506068058156e-05
0.0,0.33,132,44.0,0.0
0.0,0.33,168,56.0,0.0
0.0,0.33,204,68.0,0.0
0.0,0.33,252,84.0,0.0
0.0,0.33,300,100.0,0.0
0.0,0.33,372,124.0,0.0
0.0,0.34,60,19.998375,0.000452500180266609
0.0,0.34,72,23.999497970519123,0.00023373046511796885
0.0,0.34,84,27.999764663538073,0.00012760578847932833
0.0,0.34,108,36.0,0.0
0.0,0.34,132,44.0,0.0
0.0,0.34,168,56.0,0.0
0.0,0.34,204,68.0,0.0
0.0,0.34,252,84.0,0.0
0.0,0.34,300,100.0,0.0
0.0,0.34,372,124.0,0.0
0.0,0.35,60,19.9978125,0.0004857482161654829
0.0,0.35,72,23.999423200170906,0.00017928301174368813
0.0,0.35,84,27.999861566787104,0.00016496592715202897
0.0,0.35,108,36.0,0.0
0.0,0.35,132,44.0,0.0
0.0,0.35,168,56.0,0.0
0.0,0.35,204,68.0,0.0
0.0,0.35,252,84.0,0.0
0.0,0.35,300,100.0,0.0
0.0,0.35,372,124.0,0.0
0.0,0.36,60,19.998275,0.00045384252203102234
0.0,0.36,72,23.999487289040804,0.00020761514768974942
0.0,0.36,84,27.999764663538077,0.00011825073566513653
0.0,0.36,108,36.0,0.0
0.0,0.36,132,44.0,0.0
0.0,0.36,168,56.0,0.0
0.0,0.36,204,68.0,0.0
0.0,0.36,252,84.0,0.0
0.0,0.36,300,100.0,0.0
0.0,0.36,372,124.0,0.0
0.0,0.37,60,19.99725,0.000489788463802413
0.0,0.37,72,23.99943388164922,0.00021753119933639773
0.0,0.37,84,28.00008305992774,0.00014118175973416516
0.0,0.37,108,36.00001983025303,1.9830253034028275e-05
0.0,0.37,132,44.0,0.0
0.0,0.37,168,56.0,0.0
0.0,0.37,204,68.0,0.0
0.0,0.37,252,84.0,0.0
0.0,0.37,300,100.0,0.0
0.0,0.37,372,124.0,0.0
0.0,0.38,60,19.9978375,0.00042831875404949045
0.0,0.38,72,23.99940183721427,0.00022142138479331794
0.0,0.38,84,28.0,0.00011583035503340234
0.0,0.38,108,36.0,0.0
0.0,0.38,132,44.0,0.0
0.0,0.38,168,56.0,0.0
0.0,0.38,204,68.0,0.0
0.0,0.38,252,84.0,0.0
0.0,0.38,300,100.0,0.0
0.0,0.38,372,124.0,0.0
0.0,0.39,60,19.998425,0.0004806506423630391
0.0,0.39,72,23.99930570390942,0.00024041699512456605
0.0,0.39,84,27.999764663538077,0.000207645321516665
0.0,0.39,108,36.0,0.0
0.0,0.39,132,44.0,0.0
0.0,0.39,168,56.0,0.0
0.0,0.39,204,68.0,0.0
0.0,0.39,252,84.0,0.0
0.0,0.39,300,100.0,0.0
0.0,0.39,372,124.0,0.0
0.0,0.4,60,19.997125,0.000563597996598797
0.0,0.4,72,23.99962614825892,0.0002268192030121573
0.0,0.4,84,27.99988925342968,8.971139705850471e-05
0.0,0.4,108,36.00001983025303,1.983025303402816e-05
0.0,0.4,132,44.0,0.0
0.0,0.4,168,56.0,0.0
0.0,0.4,204,68.0,0.0
0.0,0.4,252,84.0,0.0
0.0,0.4,300,100.0,0.0
